KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,STS_INSTITUTION,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ICP.M.SK.N.000000.4.ANR,M,SK,N,000000,4,ANR,1996-11,5.4,D,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.SK.00.M,,,,,,,1,,"HICP - Overall index""","Slovakia - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.SK.N.000000.4.ANR,M,SK,N,000000,4,ANR,1996-12,5.4,D,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.SK.00.M,,,,,,,1,,"HICP - Overall index""","Slovakia - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.SK.N.000000.4.ANR,M,SK,N,000000,4,ANR,1997-01,5.7,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.SK.00.M,,,,,,,1,,"HICP - Overall index""","Slovakia - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.SK.N.000000.4.ANR,M,SK,N,000000,4,ANR,1997-02,6,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.SK.00.M,,,,,,,1,,"HICP - Overall index""","Slovakia - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.SK.N.000000.4.ANR,M,SK,N,000000,4,ANR,1997-03,6.3,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.SK.00.M,,,,,,,1,,"HICP - Overall index""","Slovakia - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.SK.N.000000.4.ANR,M,SK,N,000000,4,ANR,1997-04,6.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.SK.00.M,,,,,,,1,,"HICP - Overall index""","Slovakia - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.SK.N.000000.4.ANR,M,SK,N,000000,4,ANR,1997-05,5.9,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.SK.00.M,,,,,,,1,,"HICP - Overall index""","Slovakia - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.SK.N.000000.4.ANR,M,SK,N,000000,4,ANR,1997-06,6.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.SK.00.M,,,,,,,1,,"HICP - Overall index""","Slovakia - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.SK.N.000000.4.ANR,M,SK,N,000000,4,ANR,1997-07,5.9,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.SK.00.M,,,,,,,1,,"HICP - Overall index""","Slovakia - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.SK.N.000000.4.ANR,M,SK,N,000000,4,ANR,1997-08,6.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.SK.00.M,,,,,,,1,,"HICP - Overall index""","Slovakia - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
