KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,STS_INSTITUTION,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2010-05,1.9,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2010-06,1.7,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2010-07,1.9,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2010-08,1.6,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2010-09,1.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2010-10,1.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2010-11,1.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2010-12,2,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2011-01,2,A,F,,Implementation of HICP Regulation No. 33/2009 on the treatment of seasonal items in the HICP. See Box 3 in the April 2011 ECB Monthly Bulletin for details.,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2011-02,1.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2011-03,2.2,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2011-04,2.2,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2011-05,2.2,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2011-06,2.3,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2011-07,2.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2011-08,2.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2011-09,2.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2011-10,2.5,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2011-11,2.7,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2011-12,2.7,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2012-01,2.6,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2012-02,2.5,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2012-03,2.6,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2012-04,2.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2012-05,2.3,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2012-06,2.3,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2012-07,2.2,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2012-08,2.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2012-09,2.2,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2012-10,2.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2012-11,1.6,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2012-12,1.5,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2013-01,1.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2013-02,1.2,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2013-03,1.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2013-04,0.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2013-05,0.9,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2013-06,1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2013-07,1.2,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2013-08,1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2013-09,1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2013-10,0.7,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2013-11,0.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2013-12,0.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2014-01,0.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2014-02,1.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2014-03,0.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2014-04,0.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2014-05,0.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2014-06,0.6,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2014-07,0.6,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2014-08,0.5,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2014-09,0.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2014-10,0.5,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2014-11,0.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2014-12,0.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2015-01,-0.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2015-02,-0.3,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2015-03,0,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2015-04,0.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2015-05,0.3,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2015-06,0.3,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2015-07,0.2,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2015-08,0.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2015-09,0.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2015-10,0.2,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2015-11,0.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2015-12,0.3,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2016-01,0.3,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2016-02,-0.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2016-03,-0.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2016-04,-0.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2016-05,0.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2016-06,0.3,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2016-07,0.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2016-08,0.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2016-09,0.5,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2016-10,0.5,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2016-11,0.7,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2016-12,0.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2017-01,1.6,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2017-02,1.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2017-03,1.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2017-04,1.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2017-05,0.9,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2017-06,0.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FR.N.000000.4.ANR,M,FR,N,000000,4,ANR,2017-07,0.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FR.00.M,,,,,,,1,,"HICP - Overall index""","France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
